product_id,sku,name,packaging_type,unit_container_type
850,EUZ-AXE-BFS,Isopropyl Alcohol 99% - 4 x 55 Gallon Drums,Pallets_48x40,Drums
852,CU-20UC-KITN,Isopropyl Alcohol 99% - 55 Gallon Drum,Pallets_48x40,Drums
854,GCT-HU9-HJ6,Isopropyl Alcohol 99.9% ACS Reagent Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
856,ZX2-RS3-DK6,Isopropyl Alcohol 99.9% Semiconductor - 55 Gallon Drum,Pallets_48x40,Drums
858,NT8-BZP-XMB,Isopropyl Alcohol Semiconductor - 55 Gallon Drum,Pallets_48x40,Drums
859,GHD-Q4L-6QT,Kerosene - 4 x 55 Gallon Drums,Pallets_48x40,Drums
861,P3-GHJN-K1BE,Kerosene - 55 Gallon Metal Drum,Pallets_48x40,Drums
863,83M-465-C22,Liquid Ammonium Sulfate 40% - 55 Gallon Drum,Pallets_48x40,Drums
864,71W-UZL-P90,"Lubricating Oil, Gear 80W90 - 55 Gallon Drum",Pallets_48x40,Drums
866,SC-F5S9-GTSN,Methanol - Technical Grade - 55 Gallon Drum,Pallets_48x40,Drums
867,DGC-XZ5-944,Methanol ACS Reagent Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
869,UCZ-VAP-OWV,Methanol ACS Reagent Grade - 55 Gallon Drum,Pallets_48x40,Drums
870,C72-6XB-ANG,Methanol Technical Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
872,QVK-KK5-PES,Methyl Ethyl Ketone (MEK) - 4 x 55 Gallon Drums,Pallets_48x40,Drums
874,UZ-LOTH-HCSD,Methyl Ethyl Ketone (MEK) - 55 Gallon Drum,Pallets_48x40,Drums
878,DUJ-THF-5AQ,Methyl Isobutyl Ketone (MIBK) ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
880,BVX-3ET-JE2,Methyl Isobutyl Ketone (MIBK) ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
883,QNN-KYR-TTP,Methyl Isobutyl Ketone (MIBK) Technical Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
885,7V3-7KW-371,Methyl Isobutyl Ketone (MIBK) Technical Grade - 55 Gallon Drum,Pallets_48x40,Drums
887,J4-46GS-16EU,Methyl n-Amyl Ketone (MAK) - 55 Gallon Drum,Pallets_48x40,Drums
888,VVK-SPU-Z75,Methyl N-Amyl Ketone (MAK) ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
